Date,Merchant,Category,Account,Amount,Notes
2024-07-22,Salary,Paychecks,Chase Checking,5400.00,
2024-07-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-08-05,Salary,Paychecks,Chase Checking,5400.00,
2024-08-19,Salary,Paychecks,Chase Checking,5400.00,
2024-08-22,Mosque Donation,Charity,Chase Checking,-250.00,
2024-08-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-09-02,Salary,Paychecks,Chase Checking,5400.00,
2024-09-10,Car Down Payment,Auto,Chase Checking,-9000.00,New Toyota Camry - cash down
2024-09-12,Toyota Dealer - Taxes & Fees,Auto,Chase Checking,-2800.00,DMV + sales tax
2024-09-16,Salary,Paychecks,Chase Checking,5400.00,
2024-09-25,Car Insurance,Insurance,Chase Checking,-185.00,
2024-09-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-10-03,Salary,Paychecks,Chase Checking,5400.00,
2024-10-14,Salary,Paychecks,Chase Checking,5400.00,
2024-10-28,Salary,Paychecks,Chase Checking,5400.00,
2024-10-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-11-06,Salary Bonus,Bonus,Chase Checking,3000.00,Q3 bonus
2024-11-11,Salary,Paychecks,Chase Checking,5400.00,
2024-11-25,Salary,Paychecks,Chase Checking,5400.00,
2024-11-30,Rent Payment,Rent,Chase Checking,-1850.00,
2024-12-09,Salary,Paychecks,Chase Checking,5400.00,
2024-12-18,Winter Coat,Shopping,Chase Checking,-220.00,
2024-12-23,Salary,Paychecks,Chase Checking,5400.00,
2024-12-30,Rent Payment,Rent,Chase Checking,-1850.00,
2025-01-06,Salary,Paychecks,Chase Checking,5400.00,
2025-01-15,401k Contribution,Retirement,Chase Checking,-500.00,Monthly auto
2025-01-20,Salary,Paychecks,Chase Checking,5400.00,
2025-01-30,Rent Payment,Rent,Chase Checking,-1850.00,
2025-02-03,Salary,Paychecks,Chase Checking,5400.00,
2025-02-10,Baby Shower Expense,Gifts,Chase Checking,-350.00,First baby incoming
2025-02-17,Salary,Paychecks,Chase Checking,5400.00,
2025-02-28,Rent Payment,Rent,Chase Checking,-1850.00,
2025-03-03,Salary,Paychecks,Chase Checking,5400.00,
2025-03-15,Ramadan Mosque Donation,Charity,Chase Checking,-600.00,
2025-03-17,Salary,Paychecks,Chase Checking,5400.00,
2025-03-30,Rent Payment,Rent,Chase Checking,-1850.00,
2025-03-31,Salary,Paychecks,Chase Checking,5400.00,
2025-04-10,Baby Crib & Gear,Baby,Chase Checking,-850.00,
2025-04-14,Salary,Paychecks,Chase Checking,5400.00,
2025-04-15,Annual Zakat Payment,Charity,Chase Checking,-375.00,Annual zakat — year 2
2025-04-28,Salary,Paychecks,Chase Checking,5600.00,Annual raise
2025-05-02,Baby Hospital Bill,Medical,Chase Checking,-3200.00,Delivery copay
2025-05-12,Salary,Paychecks,Chase Checking,5600.00,
2025-05-26,Salary,Paychecks,Chase Checking,5600.00,
2025-05-30,Rent Payment,Rent,Chase Checking,-1900.00,Rent increase
2025-06-05,Halal Baby Formula,Baby,Chase Checking,-180.00,
2025-06-09,Salary,Paychecks,Chase Checking,5600.00,
2025-06-23,Salary,Paychecks,Chase Checking,5600.00,
2025-06-30,Rent Payment,Rent,Chase Checking,-1900.00,
2025-07-07,Salary,Paychecks,Chase Checking,5600.00,
2025-07-14,Daycare Deposit,Childcare,Chase Checking,-1200.00,
2025-07-21,Salary,Paychecks,Chase Checking,5600.00,
2025-07-30,Rent Payment,Rent,Chase Checking,-1900.00,
2025-08-04,Salary,Paychecks,Chase Checking,5600.00,
2025-08-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2025-08-18,Salary,Paychecks,Chase Checking,5600.00,
2025-08-30,Rent Payment,Rent,Chase Checking,-1900.00,
2025-09-01,Salary,Paychecks,Chase Checking,5600.00,
2025-09-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2025-09-15,Salary,Paychecks,Chase Checking,5600.00,
2025-09-29,Salary,Paychecks,Chase Checking,5600.00,
2025-09-30,Rent Payment,Rent,Chase Checking,-1900.00,
2025-10-06,Mosque Donation,Charity,Chase Checking,-300.00,
2025-10-13,Salary,Paychecks,Chase Checking,5600.00,
2025-10-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2025-10-27,Salary,Paychecks,Chase Checking,5600.00,
2025-10-30,Rent Payment,Rent,Chase Checking,-1900.00,
2025-11-10,Salary,Paychecks,Chase Checking,5600.00,
2025-11-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2025-11-20,Salary Bonus,Bonus,Chase Checking,3500.00,Q3 bonus
2025-11-24,Salary,Paychecks,Chase Checking,5600.00,
2025-11-30,Rent Payment,Rent,Chase Checking,-1900.00,
2025-12-05,Winter Family Gifts,Gifts,Chase Checking,-400.00,
2025-12-08,Salary,Paychecks,Chase Checking,5600.00,
2025-12-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2025-12-22,Salary,Paychecks,Chase Checking,5600.00,
2025-12-30,Rent Payment,Rent,Chase Checking,-1900.00,
2026-01-05,Salary,Paychecks,Chase Checking,5600.00,
2026-01-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2026-01-19,Salary,Paychecks,Chase Checking,5600.00,
2026-01-30,Rent Payment,Rent,Chase Checking,-1900.00,
2026-02-02,Salary,Paychecks,Chase Checking,5600.00,
2026-02-10,Halal Meat Co,Groceries,Chase Checking,-210.00,
2026-02-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2026-02-16,Salary,Paychecks,Chase Checking,5600.00,
2026-02-28,Rent Payment,Rent,Chase Checking,-1900.00,
2026-03-02,Salary,Paychecks,Chase Checking,5600.00,
2026-03-15,Daycare Monthly,Childcare,Chase Checking,-1800.00,
2026-03-16,Salary,Paychecks,Chase Checking,5600.00,
2026-03-22,Ramadan Mosque Donation,Charity,Chase Checking,-700.00,
2026-03-30,Salary,Paychecks,Chase Checking,5600.00,
2026-03-31,Rent Payment,Rent,Chase Checking,-1900.00,
2026-04-10,Eid Gifts to Family,Gifts,Chase Checking,-450.00,Eid al-Fitr
2026-04-13,Salary,Paychecks,Chase Checking,5600.00,
2026-04-15,Annual Zakat Payment,Charity,Chase Checking,-375.00,Annual zakat — year 3
